id,source,date,reviewer,rating_context,summary_paraphrased,theme_tag,sentiment,helpful_votes,source_url
123,Google Play Store,10-06-2026,Pradeep Kumar,positive review,"Reviewer says Spotify recommendations feel surprisingly accurate, describing the algorithm as understanding their taste well across studying, relaxing, and various moods.",algorithm_satisfaction_positive,positive,1,play_store_spotify_reviews
124,Google Play Store,29-08-2025,Priya Ghosh,negative review,"Reviewer reports no longer being able to play their own liked songs on demand, alongside inability to play albums in order, as part of broader free-tier restriction complaints; says they are planning to switch services.",churn_intent,negative,48679,play_store_spotify_reviews
125,Google Play Store,09-06-2026,Gaje Singh,negative review,"Reviewer says free tier forces shuffle-only playback with no ability to choose a specific song or jump to a timestamp, calling it a frustrating limitation on control over listening.",shuffle_quality,negative,1,play_store_spotify_reviews
126,Google Play Store,13-06-2026,Neha Gupta,negative review,"Reviewer says playlists cannot run in their intended order due to forced shuffle on free tier, requiring manual song-by-song selection to get desired content.",shuffle_quality,negative,2,play_store_spotify_reviews
127,Google Play Store,12-06-2026,Shivam Passi,negative review,"Reviewer explicitly states recommendations are often repetitive, citing this as a core reason the app feels frustrating and poor value for free users.",repetition,negative,2,play_store_spotify_reviews
128,Google Play Store,04-06-2026,Aditya Patel,negative review,Reviewer says the app constantly pushes unrequested podcasts/recommendations while burying songs they actually want; explicitly states the algorithm seems convinced they only want to hear the same handful of songs on repeat.,algorithm_overfitting,negative,4,play_store_spotify_reviews
129,Google Play Store,14-04-2025,Alexandra Howland-Lopez,negative review (4-5 yrs premium),"Long-time premium subscriber says recommendation algorithms have declined in quality, making it harder to find new music since the app keeps surfacing the same older content; also requests the return of a previously available curated BPM-based running playlist mix.",algorithm_quality_decline_over_time,negative,181,play_store_spotify_reviews
130,Google Play Store,22-01-2025,A Google user,negative review (10+ yr loyal user),"Long-time user reports it has become difficult to discover small/independent artists, with recommendations clogged by sponsored popular artists -- including some they had explicitly blocked -- and attributes a perceived decline in curation quality to layoffs and AI-generated playlist curation; says they will switch if a good alternative is found.",algorithm_inaccuracy,negative,153,play_store_spotify_reviews
131,Google Play Store,03-09-2024,Jade Kathleen,negative review,"Reviewer says shuffle does not genuinely randomize, instead favoring recently played songs; separately states Discover Weekly is poorly tailored and rarely surfaces their actual genres, yielding only a handful of liked songs over time.",repetition,negative,69,play_store_spotify_reviews
132,Google Play Store,02-06-2025,Anika,negative review (27-hour playlist),"Reviewer with a 27-hour playlist reports the same songs repeat constantly despite the large pool of available tracks, describing it as actively harming their listening experience.",repetition,negative,744,play_store_spotify_reviews
