"id","source","date","reviewer","mention_type","summary_paraphrased","theme_tag","sentiment","helpful_votes","source_url"
"123","Google Play Store","2026-06-10","Pradeep Kumar","primary","Recommendations feel surprisingly accurate; algorithm seems to understand taste well across different moods/contexts.","algorithm_satisfaction_positive","positive","1","play_store_spotify_reviews"
"124","Google Play Store","2025-08-29","Priya Ghosh","primary","Can no longer play liked songs on demand or albums in order; planning to switch services.","churn_intent","negative","48679","play_store_spotify_reviews"
"125","Google Play Store","2026-06-09","Gaje Singh","primary","Free tier forces shuffle-only playback with no ability to choose a specific song or timestamp.","shuffle_quality","negative","1","play_store_spotify_reviews"
"126","Google Play Store","2026-06-13","Neha Gupta","primary","Playlists cannot run in intended order due to forced shuffle on free tier.","shuffle_quality","negative","2","play_store_spotify_reviews"
"127","Google Play Store","2026-06-12","Shivam Passi","primary","Explicitly states recommendations are often repetitive, a core driver of frustration.","repetition","negative","2","play_store_spotify_reviews"
"128","Google Play Store","2026-06-04","Aditya Patel","primary","Algorithm seems convinced user only wants the same handful of songs on repeat; pushes unrequested podcasts over wanted songs.","algorithm_overfitting","negative","4","play_store_spotify_reviews"
"129","Google Play Store","2025-04-14","Alexandra Howland-Lopez","primary","Long-time premium user: recommendation algorithms have declined, harder to find new music, same old content resurfaces.","algorithm_quality_decline_over_time","negative","181","play_store_spotify_reviews"
"130","Google Play Store","2025-01-22","A Google user","primary","10+ yr user: hard to discover small artists; recommendations clogged with sponsored/popular artists incl. blocked ones; blames layoffs/AI curation.","algorithm_inaccuracy","negative","153","play_store_spotify_reviews"
"131","Google Play Store","2024-09-03","Jade Kathleen","primary","Shuffle favors recently played tracks; Discover Weekly poorly tailored, rarely matches actual genres.","repetition","negative","69","play_store_spotify_reviews"
"132","Google Play Store","2025-06-02","Anika","primary","27-hour playlist still repeats same songs constantly.","repetition","negative","744","play_store_spotify_reviews"
"133","Google Play Store","2025-09-26","schlauhonk","primary","Homescreen redesign removed diverse suggested-playlist content, leaving only recent items + unwanted autoplay snippets.","product_change_complaint","negative","315","play_store_spotify_reviews"
"134","Google Play Store","2025-06-09","kristina249","primary","'Go to song radio' expected to surface similar-genre tracks but instead shuffles generic new releases.","algorithm_mechanics_question","neutral","70","play_store_spotify_reviews"
"135","Google Play Store","2025-10-29","Matthew Poworoznek","primary","Wants true 'dislike' button distinct from 'hide'; hidden songs still occupy playlist slots, limiting algorithm feedback granularity.","product_gap_feedback_loop","negative","1095","play_store_spotify_reviews"
"136","Google Play Store","2024-09-30","Ruben Strooh","primary","Wants to disable 'Smart Shuffle' on personal playlists; says Radio already covers discovery adequately.","product_gap_control","neutral","884","play_store_spotify_reviews"
"137","Google Play Store","2025-11-30","Aiden Smith","primary","Free-tier shuffle surfaces 'a bunch of the same people over and over.'","repetition","negative","215","play_store_spotify_reviews"
"138","Google Play Store","2025-03-07","Alissa Troidl","primary","Shuffle acts like fixed playlist order; manual queueing doesn't update shuffle order, causing possible immediate repeats.","shuffle_quality","negative","40","play_store_spotify_reviews"
"139","Google Play Store","2025-03-28","Kathy","primary","Premium user: shuffle quality degraded, repeats same songs/artists in sequence.","shuffle_quality","negative","192","play_store_spotify_reviews"
"140","Google Play Store","2024-11-09","Elizabeth Blake","primary","Regardless of playlist size (cites 4,000 songs), app defaults to replaying only top ~40 most-played tracks.","algorithm_overfitting","negative","47","play_store_spotify_reviews"
"141","Google Play Store","2024-10-24","ryan colon","primary","Long-time user cites broken shuffle as one of several quality regressions over years.","shuffle_quality","negative","85","play_store_spotify_reviews"
"142","Google Play Store","2025-07-18","Conlan Parkman","primary","Frequently recommends disliked music via unpredictable algorithm; cites as reason for planning to leave.","algorithm_inaccuracy","negative","462","play_store_spotify_reviews"
"143","Google Play Store","2025-04-16","L.J. Turner","primary","Discover Weekly inconsistent ('hit or miss') even on premium.","algorithm_inconsistency","neutral","854","play_store_spotify_reviews"
"144","Google Play Store","2025-04-08","unforseen consequenses","primary","Algorithm frequently suggests content opposite to actual listening habits; AI-curated playlists seen as low quality.","algorithm_inaccuracy","negative","52","play_store_spotify_reviews"
"145","Google Play Store","2026-04-13","Aravind AB","primary","New 6-skips-per-day limit is a primary reason for considering discontinuing use.","product_gap_control","negative","23","play_store_spotify_reviews"
"146","Google Play Store","2026-04-21","Catherine Hempel","primary","Objects to automated recommendation insertions into a manually curated playlist.","algorithm_overreach_into_playlists","negative","22","play_store_spotify_reviews"
"147","Google Play Store","2025-09-25","timi seriki","primary","Lost downloaded files; reinforces broader reliability concerns around library/playlist features.","reliability_context","negative","413","play_store_spotify_reviews"
"148","Google Play Store","2026-06-09","Shubi Mittal","primary","App inserts unrequested songs into self-made playlist, undermining manual curation.","algorithm_overreach_into_playlists","negative","2","play_store_spotify_reviews"
"149","Google Play Store","2026-04-14","ayush sharma","secondary","Primary complaint is lag/crashes/long ads; also notes 'smart recommendations' keep suggesting the same songs repeatedly regardless of skips.","repetition","negative","27","play_store_spotify_reviews"
"150","Google Play Store","2026-06-09","BHUVAN DEVADA","secondary","Primary complaint is ads/lag; mentions inability to choose songs again after limit, tangential to shuffle/control frustration.","product_gap_control","negative","2","play_store_spotify_reviews"
"151","Google Play Store","2026-06-07","Akash","secondary","Primary complaint is ad volume; separately notes a song-selection limit once daily play cap is reached.","product_gap_control","negative","1","play_store_spotify_reviews"
"153","Google Play Store","2025-09-01","Michaela Henderson","secondary","Primary request is UI nostalgia (bring back heart icon for likes); tangential to liking mechanism that feeds the recommendation algorithm.","algorithm_mechanics_question","neutral","100","play_store_spotify_reviews"
"154","Google Play Store","2025-09-08","Joseph","secondary","Primary complaint is app crashes; also notes app defaults to playing 'trending' songs after a crash interrupts a custom mix, reducing personalized variety.","algorithm_overreach_into_playlists","negative","167","play_store_spotify_reviews"
"156","Google Play Store","2025-06-07","Meme Mania","secondary","Primary complaint is high ad frequency on free tier; also separately notes Smart Shuffle has 'gone out of control,' playing songs outside the selected playlist regardless of skips.","shuffle_quality","negative","222","play_store_spotify_reviews"
"157","Google Play Store","2025-01-10","Toby","secondary","Primary complaint is a UI/queue change; opens by noting they're 'glad they seem to have fixed the algorithm,' implying an earlier unresolved algorithm complaint.","algorithm_mechanics_question","neutral","44","play_store_spotify_reviews"
"158","Google Play Store","2025-01-10","Effie","secondary","Primary complaint is podcast access restrictions on premium; also notes shuffle no longer functions, causing the same songs to repeat.","repetition","negative","271","play_store_spotify_reviews"
"160","Google Play Store","2025-04-19","Tabetha Baranski","secondary","Primary complaint is misleading 'ad-free' promises; tangential mention of feeling increasingly pushed toward paying just to listen normally, indirectly touching on perceived restriction of free discovery.","product_gap_control","negative","2351","play_store_spotify_reviews"
"161","Google Play Store","2025-08-01","Matthew Koenn","secondary","Primary complaint is software slowness/bugs; separately states the AI DJ feature 'just plays the same songs over and over' with an additionally disliked AI voice.","repetition","negative","1158","play_store_spotify_reviews"
"162","Google Play Store","2026-01-10","Walter Beaver","secondary","Primary complaint is DJ feature auto-switching to Daily Mix 2; reflects a discovery-surface inconsistency between AI DJ and Daily Mix content selection.","algorithm_inconsistency","negative","455","play_store_spotify_reviews"
"163","Google Play Store","2026-04-13","Josh Milligan","secondary","Primary complaint is unwanted ambient-sound additions to tracks; separately criticizes AI DJ's recommendation logic as formulaic ('like baking a cake').","algorithm_inaccuracy","negative","20","play_store_spotify_reviews"
"164","Google Play Store","2025-04-13","Charlotte B.","secondary","Primary complaint is AI feature creep and video-in-podcasts changes; separately notes it has become harder to find their own music on the homepage than 18 months prior.","product_change_complaint","negative","15","play_store_spotify_reviews"
"165","Google Play Store","2025-06-16","Lily Elrick","secondary","Primary complaint is intrusive ad placement; separately criticizes AI-driven UI rearrangement pushing an unused playlist-creation tool into their workflow.","ai_content_trust_concern","negative","102","play_store_spotify_reviews"
"166","Google Play Store","2026-06-09 (approx, by content)","Vibek Chakraborty","secondary","Primary complaint is restricted basic playback (song-changing limits); 5-year user reframes this as user-experience-for-profit tradeoff, considering switching.","churn_risk_factor","negative","4","play_store_spotify_reviews"
"167","Google Play Store","2026-04-09","Storm Hanger","secondary","Primary complaint is excessive back-to-back ads; mentions comparing unfavorably to YouTube's ad-skip ability, implying broader dissatisfaction with the overall listening experience including content delivery.","competitor_recommendation","negative","26","play_store_spotify_reviews"
"168","Google Play Store","2026-04-04","Jefferson","secondary","Primary complaint is restricted song-choice/skip controls; frames it as Spotify removing user agency over what they listen to, adjacent to discovery-control concerns.","product_gap_control","negative","30","play_store_spotify_reviews"
